observation_uuid	observer_id	latitude	longitude	positional_accuracy	taxon_id	quality_grade	observed_on	anomaly_score	photo_uuid	photo_id	extension	license	width	height	position	observer_login
bc35d61f-bc54-41c5-8a97-3b65f2f9e40e	3494112	49.4191726479	18.5131571446	52.0	27726	research	2019-08-23	14.307070995568369	6d981a63-2cdc-49d7-a2f6-3c63e3967a04	203217431	jpg	CC-BY-NC	1536	2048	0	krystofpetrasek
b4cd4742-4a75-43b9-9f42-af763875a2c8	447090	46.2164724566	11.2694168341	100.0	27726	research	2018-10-07	17.12968973557557	bb83fa75-56c0-497b-8f3b-f2a1fed343fe	26225602	jpg	CC-BY-NC	1792	2042	0	apeterlongo
d4c98cb3-91ba-46de-820f-45daa5208b09	2228644	44.8616258812	7.2045047686	40.0	27726	research	2022-09-29	17.880217309105145	5b59c7e6-fc4c-44ce-92a3-1519849ce252	240248767	jpeg	CC-BY-NC	2048	1536	0	williambenedetto
cfdb2c87-07a2-47a3-aa6a-d8f7ea5da4ac	6726112	46.5874268855	13.8683549079	409.0	27726	research	2024-10-05	21.815179138404577	42c3a342-048e-4536-a353-8c1dafd41dd6	444725596	jpeg	CC-BY-NC	1536	2048	0	eva2468
6613cc18-95eb-49ec-a18d-00c06c9e14ba	6225470	47.0813778333	15.49868	4.0	27726	research	2023-05-24	24.552737173181267	32d6c453-0739-460e-a253-60147bc9b1a8	282712569	jpg	CC-BY-NC	1536	2048	0	claudiarath
7d9fcfec-a28c-4e89-894d-8c366091e1ac	6939496	48.0713611667	16.2644833333	4.0	27726	research	2021-06-01	12.396845715707148	61b8732b-39fa-4534-a45b-f77011c24b8f	284119801	jpg	CC-BY-NC	2048	1487	0	etienne_scholz
d99e0531-88ad-42d8-93bd-930d39f1bdb1	3905151	43.6939624405	-8.0331925358	2.0	27726	research	2022-10-15	18.84368690004563	405a7b3e-c0cd-46cf-be9c-90a7847729b4	238715138	jpeg	CC-BY-NC	2048	1536	0	varechi
537f4149-fa9c-4300-b01b-329f31179271	857593	42.9595611111	-0.4380027778		27726	research	2024-05-19	11.649679265792262	d307b299-15c0-4f7d-9cca-202dfcfaa985	383687369	jpeg	CC-BY-NC	1542	2048	0	sven_gippner
92edc784-10a9-4d11-92e8-cf1a6db46b21	2964156	45.6275672911	8.1847314833		27726	research	2021-02-27	24.555549079486205	c5bfda4c-67bc-4a28-a080-ac9827bf1244	211158810	jpeg	CC-BY-NC	2048	1536	0	silvibo
34730d74-8d71-4547-ab1c-252beec304fa	7454614	48.9351282983	20.9738565981	30664.0	27726	research	2023-04-26	14.127415431573027	8438bfc4-6ff0-4d8e-811c-64004975be66	323348245	jpeg	CC-BY-NC	2048	1365	0	y_monca
626faff5-9d1f-43ff-946b-388e771b7ea6	2667929	48.2155792275	-1.580949733	10.0	27726	research	2020-10-01	6.604884669540759	3867afd1-416a-4f7c-9c9f-d0266e240da3	98281561	jpeg	CC-BY-NC	1536	2048	0	alexinoui
5a6dd2e6-20d7-4807-9794-f01c5cb68fb8	4204486	46.8802044391	13.3137404241	8.0	27726	research	2021-05-07	15.517750958616022	8ca21be4-feb6-4c5d-9547-a5807815f977	127385044	jpg	CC-BY-NC	2048	996	0	edithstabentheiner
04d42089-e2f8-4f8f-b6c9-0617ed2afcb3	1370558	41.0975166667	-8.4908766667	3.0	27726	research	2022-11-30	23.249288040343444	f40d33e1-8e88-416e-a333-73a418378c49	246125066	jpg	CC-BY-NC	2048	1365	0	joaolemoslima
f99c9c7e-3338-4a59-af61-7d7a07821c2a	7036235	40.0445171421	-8.1223811301	28000.0	27726	research	2022-02-16	17.680336736752277	fb75af01-cb37-4ded-a031-8388e779a355	290703041	jpg	CC-BY-NC	2048	1536	0	aptenodytes
c200c0e4-7da4-44ab-a64a-3c24ef86bdf3	1449824	45.7974967436	7.5898545559	27126.0	27726	research	2023-09-13	13.00842994196876	e4900688-3d52-4af0-8031-8f41b08ca0e3	319363045	jpeg	CC-BY-NC	1152	2048	0	annafoieri
f9b47c0e-ebd2-47b3-9a2a-28d58e45563f	1022464	51.7537963745	9.3653027819	69.0	27726	research	2023-03-24	7.477467427816537	acf62301-6a5c-48c9-b120-2362cc18f167	263350503	jpg	CC-BY-NC	2048	1365	0	ottofonfheist
4ead643f-40f9-4272-aed6-6a5b1696f512	3272996	51.8864080333	10.419648575		27726	research	2023-08-17	7.108991708037303	b1cf4a55-a9d5-424d-b40a-e43718337fb1	311261474	jpeg	CC-BY-NC	1536	2048	0	signeellegaard
b8c681f3-d6ab-4289-8566-4e5018098ccc	1370558	41.0960423688	-8.4862856298	4.0	27726	research	2022-11-23	23.249288040343444	acc966cb-5c44-41e3-bece-5e286c6856bc	244716279	jpg	CC-BY-NC	1536	2048	0	joaolemoslima
9475e754-296f-4ccb-979f-936e64e97c3f	2316934	48.2434494122	16.2845327263	19.0	27726	research	2015-10-09	12.396845715707148	e2ac1e75-5ab2-479e-9a07-96fb889da255	60973151	jpg	CC-BY-NC	2048	1229	0	poanemoralis
